"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2024,85,80,5,0,0,0,0,57,44,24,0,0,0,77,8
"Aberdeen, WA","10140",2024,121,121,0,0,0,0,0,48,26,18,0,0,0,121,0
"Ada, OK","10220",2024,181,135,46,0,0,0,0,77,58,41,0,0,111,69,1
"Adrian, MI","10300",2024,91,60,31,0,0,0,0,77,62,41,0,0,19,72,0
"Akron, OH","10420",2024,157,102,53,2,0,0,0,108,70,46,0,0,92,65,0
"Albany, GA","10500",2024,166,93,69,4,0,0,0,121,75,47,0,0,0,166,0
"Albany, OR","10540",2024,91,79,12,0,0,0,0,64,52,34,0,0,0,91,0
"Albany-Schenectady-Troy, NY","10580",2024,182,154,28,0,0,0,0,100,53,38,0,0,133,49,0
"Albuquerque, NM","10740",2024,92,55,33,3,0,0,1,443,62,46,1,2,43,32,14
"Alexandria, LA","10780",2024,31,29,2,0,0,0,0,78,47,29,0,0,0,31,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2024,152,123,29,0,0,0,0,81,57,34,0,18,29,105,0
"Altoona, PA","11020",2024,152,138,14,0,0,0,0,69,48,24,0,0,0,152,0
"Amarillo, TX","11100",2024,152,117,34,1,0,0,0,138,61,42,0,0,135,17,0
"Americus, GA","11140",2024,92,83,9,0,0,0,0,84,50,41,0,0,92,0,0
"Anchorage, AK","11260",2024,92,64,28,0,0,0,0,80,64,31,3,0,0,78,11
"Ann Arbor, MI","11460",2024,152,112,40,0,0,0,0,81,62,43,0,0,92,60,0
"Appleton, WI","11540",2024,91,70,21,0,0,0,0,76,60,32,0,0,6,85,0
"Ardmore, OK","11620",2024,151,93,56,2,0,0,0,126,67,46,0,0,56,95,0
"Arkadelphia, AR","11660",2024,150,142,8,0,0,0,0,67,46,34,0,0,150,0,0
"Asheville, NC","11700",2024,121,79,42,0,0,0,0,90,64,46,0,0,54,67,0
"Ashtabula, OH","11780",2024,122,99,21,2,0,0,0,108,61,41,0,0,122,0,0
"Athens, OH","11900",2024,182,168,14,0,0,0,0,62,45,27,0,0,0,182,0
"Athens, TN","11940",2024,83,60,23,0,0,0,0,89,57,33,0,0,0,83,0
"Athens-Clarke County, GA","12020",2024,182,113,67,2,0,0,0,126,65,46,0,0,63,119,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2024,183,61,118,3,1,0,0,154,80,56,1,3,56,123,0
"Atlantic City-Hammonton, NJ","12100",2024,91,80,11,0,0,0,0,66,51,32,0,0,39,52,0
"Augusta-Richmond County, GA-SC","12260",2024,191,96,94,1,0,0,0,105,71,50,0,0,73,118,0
"Augusta-Waterville, ME","12300",2024,213,176,37,0,0,0,0,77,53,38,0,0,104,109,0
